address,amount
0x9c38688e5acb9ed6049c8502650db5ac8ef96465,18674596.323675626474818584
0xd102ba5d9e57258ca565e05da72e3716b01b9e8c,413704.912379609711207420
0x5b9233e8a366d3b4b1654db7a6a3ddd45d1876ab,215000.000000000000000000
0xa6d0416bcfc0d8cb2db8c565c1488771912e0158,208578.447233775819118302
0xe8ccda8e85da5f76696e2fb06d7db8c2e8098144,201449.958631916066640814
0x00db61875511c11e07ebe53edf787717410fc916,201000.000000000000000000
0xe71a6765166dd19e2adbb4c91e047fbb57efb715,200000.000000000000000000
0xa0007237fcd3fbd6b95754f54168614a90f446c9,193374.689463568568030684
0x3369abda5a53c19bbab3f52a8713bb3af3e7992f,181321.269078427036458392
0xe0ca06b6edf74ca15051f1293957428b34577666,171348.999999999999998950
0x97a7662a93f8f95233838089ead7f422bd9fdebe,160861.940419744944923693
0xe59f8bc9eda406b46b924571b081e135a727b5ec,156622.411109252464048354
0x9bf605b52e88354eb15b46697f88c6860a11af25,150072.306384168942635127
0x3062e9f07e50127a4e6b307445121e9b1601b5c8,142727.492622172430303164
0xfc592c706dd22bb06f935a19299ec4cc16394774,127446.045213083019693570
0xceea25948effa6006216886b54a50ef65b1e2507,100000.000000000000000000
0x81add34137675f0b27f6305646eaac1c129c5aa7,90106.791026017939972360
0x87c46eda77de4beaf48fff626b8f61326e123af1,82549.744626292673464799
0xc01da44d90cb7c655b605656bad8a077d2ed6656,77496.958925807406827849
0x6333f82591b33daa712ea28e8d4f91432fef142c,74124.540700690000000000
0xaef91bfc42756c18322dcec45c2b987cfda1fb4b,69986.018690697176427797
0x4a4d944301507a175824de2dae490e9aeca5c347,64999.999999999999998180
0xd82b527828e650ff8d7ce8d82729add19687dd6f,57237.583333333333333326
0x666ee401fc1a7aeb10b98f26908c6ca125edb925,55919.075092448094200418
0x7a6d81f38cfebcc40a08128a848d96113eac70ed,53419.267120031530953103
0x26a85cfb94fb0c6424dd7ffceb18c6eb98833feb,53204.708323828594110999
0xb50a9b583fcfe7da041b5db8bf2b876ef3812c6d,52223.491024091544819446
0xdd8c68665e08f15beb7c6a0f5305fc8a9b7b9f6b,52175.879973299999997000
0x546a0cb802377153b4feae052a5ed14c98b3cc9c,50499.481263536057047359
0x07cad52604a7265cf37290a3db418f4b2d390ab4,50202.609188306219228637
0x74ede5dd6ae522dcadf09749a958d78d2c399db8,50119.610506441268077845
0x59b2f9fcf70c128c02ff7825375abe1260bfc339,50086.357406686911362641
0x02e59662c4bb7c24f4738d3d44425a387f6387d9,49446.093419990617600844
0x37c35e3eff4de8646b263142a1ee3d41b85d1cbf,44006.865192600000000000
0x68131029980acdaa510fc988178515d2a9e0f689,40001.319335021157829668
0x844afe78745d6921f3d44483e9e63e90811c5e52,33541.991883904533494134
0x236fd176250697ad01e4f3f45068cc2a3e53f855,32994.352927393259393073
0xbdb83938ad1cf4fac0913ecc770d37a943bdb334,32585.051483648305587762
0x907866219db0a1b913f19339ccaf340c2144676c,31425.380985858712079871
0x7f24a333b3ab7ad3fa334400c423c7f53104ab02,30949.618156265922520131
0x52232cfeb58bf7b6d4e8e767ad3ac232e1497432,30252.012274227641751675
0x8185dc1e2c9c5fd5a91b08712866cd976ca19955,28629.999999999999996165
0x4b1cde6a2806878fd3b30c489a86cebf88fa3052,27889.195431191088470775
0xd4bb815a5ee2154339e9d65271f62a1462442641,27318.540681660159123151
0x172795a320443beae80a08e5bf9b085e8c3b754e,26879.286857808679764372
0xab821a44bc5213144d3e85725e42b3b9d3b620e0,26500.000000000000000000
0xfcb5d6b768a86155987cc399670cae92c5a2602e,26108.190967823575432832
0x99b613b7bc72762812cbcedb23794aee1fea23a4,25381.233196232618491660
0x56175eee7c721800ef0bbff18235df97329cfdef,25292.712600640108954752
0xae20a4f057acdd672bb51071d52321d8a7565d1b,25000.000000000000000000
0x0798bceafc70517524689fda2f14849b63cfe53c,24731.732102140955693369
0xf13f87ef173bc09224b8b78d3e97031065e77c56,24472.801697430000000000
0x94a603ead33996cc7f7e367a0d757efddcdb83fb,24205.414688876525151856
0x4f4538e2553c61bce747f73c5fe8133d4b383dda,24105.332050686631249387
0xe89ce3dd908a006c079cf44485bce345cc8f955e,24099.229649134099602836
0x0f2acaa50fb36c97d4574032742c1b294d5d03a6,23586.000000000000000000
0x75d5b1fcbed30df49628069d63e986dca5c188ec,23367.742176492085037051
0x9d78f07fc27fb0166d8f81dc84bb60ca9447271b,23287.607352919576687962
0xee95b6730306ef5fdbb624d4ced80795975e9701,22641.741831230000000000
0x76ecc8b71178774e09881294f95ffd72ffc61f82,22478.519459490126702609
0x697783765705c47fbf92d38866042889d520fef0,22372.859625400000000000
0x984c2d21287a4fa1fdf637037f193cbd1dae177d,22221.000000000000000000
0x248eaf429a3dfc2f1f0c328c0237e80391a1ad39,22206.879491901313918458
0x5224a810138d38031dc7b816fbc9720278874e7e,21441.219000000000000000
0x7c6652d1b8388cc748eb10c83e5add80daec5d26,21224.000000000000000000
0x261045b1a0b8787792d0db4f46091ab84f158239,21024.961164028725302294
0x1eb15f47b6344f53c965edc377e102134e7fb803,20901.000000000000000000
0xf4544e6b93672799a304436abcd3a8a8af07603b,20320.539656038301027278
0xa4c314184ffe7fecddca0458ae314b39a51f7265,20074.573519878269822724
0xbe838e1f8da9f3634760f6200bacf23581fcb251,20066.132046293229733335
0x5d704730583d439e67b0f110df1215437c1153a5,20008.853263175358689089
0xfc44e5987a426bf62db1e5aca976be27ed10e097,20000.000000009998114814
0x02be0d9d1d0f0da6a6f2e80f15a670eab0f63896,19824.958969657058483557
0x61ae35be08ea92f9263cdba2af0dbc1d4861d652,19768.318927715461821229
0xe04c0f38d0a271de1ace658dfc26bf3b4e6002d6,19226.942292960692914284
0xf019dafaf8b0371115987982d5a821899b121c8d,19180.244987544115843345
0x3fd0113841bfe064cef47e6ed0e26871fbef95f3,19006.133047278880583997
0x6abc0cd67713a75a53fd23b541b1461c468b0c53,18909.770619764852216200
0xefe5ba26500488b01b01602e400fd1fef2b51995,18690.341718878151890305
0xab37365f0823be82d994feccd178c4e67bf85d43,17919.194061890280749800
0x0d5964288b861fd1ca4eee36ba751f42c2a4b389,17537.069891131913888206
0xb41b40bb2f11e43de9bd98773b5264b60ca80e33,17171.779020470904003097
0x663d8e60795b6d0fad4b6968a236754821a8f899,16633.554240140000000000
0xcdb2b0dfa2a9938b933e2ebdac90a0103969a3bb,16010.436011099955550392
0x09544e3e1ef133e3bbf2b2bdf09c25e5be7a2ce6,15070.884136144363245878
0x012601876006afa5edaed3c75275689aa71d8cd2,14999.999999999999997910
0x7a76cf639deeac3e546ad99f64e6c9431d966bc1,14900.000000000000000000
0x87395a1a46f75c206d09f18b988c72accd939a78,14733.000000000000000000
0x27b5f2f3c286cb200817961d73dcc01faf083635,14263.469346382074619558
0x0232366a061e8c0d424d09017bfd606443a0d6fd,14255.611848024033246331
0x93c027865354e96a1e9ec69fc8253e6d49013f82,14000.000000000000000000
0x4bec0e0c211c849763b0b9c37b4b879f1a106d87,14000.000000000000000000
0xa74f89b540810718d3a26d9f5d4ea64bfa653af7,14000.000000000000000000
0x4641beffd7a3eb375a963003fcacc298ae589712,13875.940047742711188310
0x7e44f3d32c23f44e83bc194ec6811d8ddad507b5,13649.333302227004976247
0x9f619b91c163f18e664f051971a3875e79cee885,13450.498517700000000000
0x42c13f83e669e803fc954a8d63527774e435edc7,13413.000000000000000000
0x9f8de6a1522fb1310f388c1642c17cbe738fa999,13394.979874043779533622
0xb7bb1cf95d1a2cc29ec5646ac728ef0e107ab59e,13100.100337728444812328
0xc49e9be26b96bb4c6539d897b81c92e63a7964f7,13065.398110958516296771
0x74443867aee8fba7bda45a97a85df159bffb4bf3,12717.541962450033335580
0x2aadc4858ee9da66c3317c7a5bf328f421c3a4ad,12328.498482812450762856
0x7e219a3de5731aaac1a6de99b10844b66fbe6281,12000.000000000000000000
0x344a5f7f9e3105754b3056868c932c55eab3a642,11289.136959059905949634
0x69bc6d8ec6eb412dd12ed093c979835f4dec6d96,11197.999999999999996095
0xac35d74f53b7dc212ed9c2879e6598910bb7f712,11177.178649744643833046
0xf60cc9096086a75dc6c9c1c3704a2c14bb80d12d,10999.999999999999997910
0x6be5cabdb765c3ae0174b101d23abaf3a660ba87,10619.723691176091044374
0x35d001264638909749321751461afddd4e116856,10509.392442841299648344
0xde0f9631af47f913c2a8a296a0c01bbf8e6ebeb1,10505.178344071278166689
0x69cf0e16b2b5a4d4c92316c4727f7c0729061b6e,10368.986717893599468549
0x8cc533bb8b42d6e60c0c8531f1a01b4f905995a1,10200.000000000000000000
0xe618050f1adb1f6bb7d03a3484346ac42f3e71ee,10142.963213143096602926
0x602483a0cdb6b46dd45cdde0959a2a33b7c50aae,10117.009233847148625477
0x405f8ccf4eb92e442e30d51b145eeac65231132b,10029.654617530938418261
0x65380c8d0a67641026ad23a779ce39a57192c90d,10006.960000000000000000
0x9f54bccddebcb5ab396a67d16c50ee9647d15139,10000.000000000000000000
0xce8dc1d4661ff4d5470e780ba92642fc026998d9,10000.000000000000000000
0x611eff619f1ad3e359823b661edaf224452eec14,10000.000000000000000000
0x8599e6ea518487109f5cd70fc973443e85b2f5ed,10000.000000000000000000
0xb1dd911c035427254648b0ed5cc46597af740779,9700.096827952180329122
0x327e6859a0356967a421d688bbbad92764d2b186,9523.843365325558605121
0x942c82b1fa3cfd5d383e30f27ad6144e9da2f9f6,9390.555322750154152479
0xefc3f2fa581a2ca322f21bb1f82af99226412c97,9125.290728109480948716
0xca5ea0003799f22c15d51c223e0e09dc88577b6a,8990.000000000000000000
0x71a7e403fd87595123504c904af6cd40ef09866c,8942.125432838854648997
0x03aa022fe6acd83e2c93f37c5d1a32b32206248d,8894.627168899999998240
0x2387c42d215c81252dd3c8c25d703e994b570483,8856.850439181275734939
0x622206204e3bc0325d93c153600a8fd35ee68de9,8795.765951449443134466
0x67d4d199eae0e79c5267862ca0d5fab70e7d6cb8,8639.599537182838451890
0xd852b24853a32bc225451b1072068f1affa207ef,8417.430327260905719220
0x9b56f4ee2ff473f5761fd7b819627554a55b4048,8407.697464484421562125
0x801dfedd9344b64cbccb841c1a1aa7cd64163fed,8029.590770922733546209
0x7f7bdac68fd900ed926dcdf02227f3984c7e64dd,7909.299999999999996535
0xcf06dfddb69dc2635d9d5e3586d935211443020b,7711.250304059963127553
