address,amount
0x9c38688e5acb9ed6049c8502650db5ac8ef96465,6302593.127680739869101346
0xed7eabc86201e647e37bb53419a7ad69bfc5b944,1918198.844618891913617400
0x41a09d330f3d9bc4d269bfa872bc06db1c5a04fc,999061.658054254653756797
0x2a0c0dbecc7e4d658f48e01e3fa353f44050c208,539606.485859804261172154
0xdad697274f95f909ad12437c516626d65263ce47,409951.787598126701409788
0x2723ef93aa9224cc343765a63f454a57aa6519ee,300683.259258307486056344
0xcdccc4894579768340410fb9050b66510341a028,295947.358328274000000000
0xaad4448478674e14eeb68ab01454643980a32107,275969.000000000000000000
0x30108ba4332e94c7f1204429f69ce99f9bca9eae,261257.745123229055255417
0x2c1564290f52206bc396131ba5a5cf4cd2343a28,159432.089221322267852510
0xff7aa13e08dbebf4a5bcd8d320504ab2f7a39da7,156849.000000000000000000
0x158177a939e112524ec6635c48d729b7f046f0d4,147080.000000000000000000
0x4af5bfbbf66f8542edc76a2024d5b1bb32d7c5ec,131399.999999999999996700
0x61819fd61b79325805614130b2456b6c8e51c7fa,122134.594111975467264898
0xdce766d46a5fb7692ac135260126b3b47b7f30cc,111361.600133064578336477
0x00e74be51e04f119d5ced0a91e1df162f85b69bf,93000.000000000000000000
0x82cbc0bd491afd4abc250a6bdb1c84f3b8e1c591,92889.338500399999992875
0x584c211f745672671cb25330d423bd8b9b19e984,91987.877121377776368284
0x31f1defc3902ea5c1683fc5e0a463a514e91cda2,90000.000000000000000000
0x9e2955adca7032c0c67cd26953a913876fcec041,89260.000000000000000000
0x821a08770c428fb15b49f562f606f209de535e80,89000.000000000000000000
0x2fa676f4d6bdbba48a52069c58a986b9b9efe3fe,87144.480000000000000000
0x300d18c65563d0c9021d7722dd1aab74b9cc447f,85249.999999999999998845
0xeecedba13da545fc8d9a2a723d20f3290b165a32,83334.000000000000000000
0xdef1ff45df2a0ca7abe82c14eda29bea30fad331,83196.209091384941403373
0x2b6fb4e28efd2eaa96963a6b30c58ace9e2bf681,76680.000000000000000000
0xeb9951021698b42e4399f9cbb6267aa35f82d59d,75670.629268380000005385
0x45fa6182f357528afa58886e004666228f73d08e,75049.282878280223422286
0x6edb7d32cc26127e4cbe4f300bdef4fcf7f95658,72358.034999000000000000
0x0159ec10d01d7efee547a46fbda78f5a41879243,70815.629125694861812195
0x3c22b0eadea76277be1da6e446913460d0380c74,67644.416666666666666674
0x86022517d7b194b22852d34cf7cb6da67301fb5c,65700.000000000000000000
0x7b2cc2ff366157d4a56898dab0a6b816b1ff6cfb,65220.000000000000000000
0xd9abda73acf58964643ca8f9923a460b9fd46834,65000.000000000000000000
0x00b35e49de29b61fa3b0ad8d8be308543db89520,64817.687856000000000000
0xf99ab98d567dc82967b45208d03ad764c4a28c5d,61890.279940768771138556
0x86c23ff9dd9b4f04a1124819949a55d11e80db5c,61276.596667396973416054
0xd7432efe1737f0a292dc992726ca81020d6d5083,60038.638922349454609392
0xa359441d1ce414d730a51a84a379b400bf05365c,56521.000000000000000000
0x8fc4410359deb8f8cae99ce26e93da1e69391324,53969.561719219102660685
0x890afc304ff3d1e99e2218c8dba4bcbef971d6ab,53899.999999999999999560
0xf7ae622c77d0580f02bcb2f92380d61e3f6e466c,53570.600000000000000000
0x8a9fdb0db1189ce00e6c24fc37be7eb646c69c3b,52200.000000000000000000
0x38171fb7a15a87b335fb97cab16219d2fa013de9,50402.011480390885842497
0x277053a7566153ed70cb1c181b05433f78441bcc,50375.836964358632784803
0x3e647e803457f812b648c5a4ee83166f05e32502,50349.686981071065023217
0x3078e18f831fb2b03e09ac76c0aecea58926cc8b,50000.000000000000000000
0x11ff909fe85d9f44462b157c882d70e990422aaa,49989.586771000000000000
0x0339993f8c74ccb96e3be857a91bd21ab2760d94,46200.000000000000000000
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,45511.703798929144137585
0xa8ac0cabb75a3842fb8cbbe18359f71711cf95b7,44352.300080964294673597
0xaff4ac0f844d2efba41745ed6c76907200be88f2,43999.999999999999996095
0x58e1ca4d89344947cb7ec1f7641473169ec83aba,43900.635349701721524332
0x7dc0a282fcc494ef0ea59cba06f8709c04c1aee5,43134.662866244633624593
0x6d635eee45814dd6418e30ee4a29843f5f9010b7,42323.000000000000000000
0x6d212b7040b85c9c14cd5408566f41775e777eac,40475.457038054016228212
0xa1db3d0fa5a827a865c4b153cc779c69808867d5,40085.507518567882862039
0xa1ecb46c0be223dff23efda8bd553d17b938af47,40000.000000000000000000
0x435654ee9c5c6764ec5cec71e5d8e33c62845d11,40000.000000000000000000
0x6a6fc3efec06dfc2123029d4d0c66e901c812eb7,39097.818195431187366562
0xd25113d78ac92a3a23b7e0b2f8459030504764cc,38841.380000000000000000
0x54513f7e6522538a7e1ec56d7744d7192d228836,37800.000000000000000000
0xbddcaaf5668cf37a43180d71e2cc6bfa45b0984e,37648.917621266117525678
0x91d861602ba6c587d640e53bdae6e39bcae45a6a,36658.405642799999994705
0x67243828e8c300355d2924611eeaabddfe1516dd,35487.093544015477647298
0x637ddfddaccaaec1c06a9a965795b396950ebaa6,34449.999999999999997140
0x2e7806d42f9e0de38e1f669184b30a74be90fd61,33700.000000000000000000
0xaed2804a0637433cc23b36a98aebc66615000ffb,33255.000000000000000000
0xb30687c3312876fcce9a920a32cfe346289452fd,33000.000000000000000000
0x189e69aff130dd5e351baf5e530d4e4bdfd40ba3,32280.000000000000000000
0x2cd67093c4991d9d775f73ca601ad6b944d3ebd9,32142.000000000000000000
0x84d855e106fba429feb2ff9c7789c492b35ad8f1,31523.227996000000000000
0x6019dba2406a9bdda24174124097f4d0ec1a0388,30000.000000000000000000
0xa49ec1c53d48219c0fc4f9ec18d47a4b91c651c3,30000.000000000000000000
0x2ea88d3ab922bdc989f8cec210385932b5517ca3,30000.000000000000000000
0xaac85cc4016a8dc838636afe1c70077216f59eda,29995.900000000000000000
0xc3c5b30cf5346556ac8c3bb8a0fb7124528625c9,29990.000000000000000000
0x8398c9737f8ca02b751cafdea535950df914de93,29443.382904195593357902
0x44080f2484ad40d0c39c295d2ec4aad016b2d066,29259.999999999999997470
0x155d31040ea1d36b1df6dc37b859242337f50289,29250.000000000000000000
0xc2c88541ea24019900d61be3c380afc8f759d104,28260.860000000000000000
0x0f4964fd6eeb17746b8e9edd0cb935f18fd258f1,27865.423007530840190777
0x02e59662c4bb7c24f4738d3d44425a387f6387d9,27648.564530278456064467
0x0d9a4938135a19da6508883b48ef5e7c6fe4cf14,27499.999999999999999230
0xc03e56a40f3ce3dfff1bad774c630c388c395a57,27262.564437535526136096
0x4c9a697bb0942e4c2571c46397cf81536011cff3,27034.914935538298297487
0x41487bd858925d175a6ed280903061672df6c59a,27018.199999999999999890
0x50aa9ae1d10b553e4d7bc80375309af26e6d9ef4,27000.000000000000000000
0x9c73f88d98832db1dc68136b21da7255f3effea9,26500.000000000000000000
0x793014a34f091d4e4ab1850c95c355f762ba8f17,26433.591844736218215823
0xa68ac020b1d697b04ec919693ce8912d3805199e,26000.000000000000000000
0x876fe56151663b9760a6d9c020b32f2e88f5b0ae,25542.999900000000000000
0x8af51d59898fab588d5f2aed0da0517aa8589974,25510.700093688898025845
0xbe868e73b0ace94dcb66507d6efbf33fcbd2c1ac,25277.999999999999999670
0xb485805a126f310e846ede3405c2ce5c6c93ac42,25190.180000000000000000
0xe99c978bd0198a087445868712379e9f6789b77d,25069.324786061587433680
0x1b7eb36f0c8ef3d2dbc0217e68c4c27b723b3c9d,25024.022740715603624812
0x082082ffdd05e74d57b5a29c75b18a85843362e5,25000.126000000000000000
0x66338d4bc9619be40df7c3763a1aea4136524db4,25000.000000000000000000
0xab939d1e392360298d7a8e7c5febf6c0fc03dad9,24970.894482207764075000
0x5ff406380e430a13d9f626629bf81be9fbaaea6f,23522.432044510000000000
0x4729ef54c579f7a89e7799805d8540209967dab4,23053.000000000000000000
0xb41b40bb2f11e43de9bd98773b5264b60ca80e33,23000.900967734944480923
0xcb4d298aa980fda2efa62b35522e150bdc786273,22010.999999999999996700
0x22bae4258b52a78f5117d6936e62c9b56e4198ef,21999.999999999999995820
0x201b3f3a9893659a8a9b93070fe75d89828dd096,21999.999999999999995820
0x146e3346d32ea99f877471ad69d7ce33b74085fe,21991.200000000000000000
0xc4dfc4edface476ee103f964e6d7849907fe2bc3,21672.656259658016956127
0x3ceea9e02690bd23f42350c18dd8a4d451eec951,21660.194819467310154323
0xb8ff353dc8d5b867fae386533d8fa23b58d80553,21581.816988517455263106
0x6982159f3a4133bd367267bf831aaa3b7d32ffa3,21214.916873999999993345
0x403ff3c83a2612257c774e674115fe450a0e816c,20999.999999999999997910
0x9edc399bd7c2b3562cc5ed7ab6738692f3078fe6,20759.000000000000000000
0x7554eed08160090c911180f9253091f07631d683,20262.519390754368416869
0x75f0e91e9cbbdac4ca253c0939f6d149fe4397ff,20002.516310517978516985
0xc807ffde07f946526d661c23c0bf03b3b28a523a,20000.000000000000000000
0x236ea4cee25df5099480564f814f2825384bd8cc,20000.000000000000000000
0x5f8188ab19a417bbc365b7458572948e4d1a11b7,20000.000000000000000000
0xad9ce1965410fa6c4b2d5cda4ec8eb3664e64b81,19916.303489174736947269
0xb3bd55855de9aa34808b2caf9c74d8451109d87b,19838.431157415826471010
0x9aa51df726a416fea0fe13ad8c96c1642338b9ef,19774.260649027963836325
0x470a756b4641d679399e9154f545999c69e0e3af,19604.497538247737670428
0xb6898227010ecdccc28e992cdc356f06bb26132a,19600.000000000000000000
0xfa2d791aa6d94df056f325f63c9d2ea7a1ed2609,19369.999999999999996425
0x35c6029b4de8e92ff2c0fe33a4cc8667b633a96d,19000.000000000000000000
0x225922b984e09d65cd031663169e87d220f780cc,18701.099999999999996535
0x14148af94653364c314eba896fa443c9f9828ac0,18360.000000000000000000
0x9067ae747976631d6194311f6cf6fd83a561b0c9,18352.771535517389272266
0xd3e05737723844d9f6c22a6095062784c61ef7a9,18164.599893979420174732
0xb50dd633854a804f540593cfa0de047fb1067fcf,17844.000000000000000000
0x77e4588685744cdbddbf677860b42a3c28e166dd,17561.675044393248206389
0xc7701e429c0fa730e7926b56feee80ea0ec57f25,17496.960000000000000000
0x1f5ceda6d61154b634f7823be85af2ee974dcbac,17342.000000000000000000
0xe69103b55b48378f750cf937686786053c8b7e06,17280.000000000000000000
0xf9f84f11d97b20029b07611020acc8b490d926b2,17159.999999999999996205
0xc754e928115ab2a9b6d4a36110a8b7f528c468f9,17000.000000000000000000
0x86742c707e85d6e3acb14f1421cdbb295b6fd5d2,16962.945396400000000000
0xd30e62343cd97604384042a5ec5a70eadcdcf498,16499.999999999999996865
0x8dcd6294ce580bc6d17304a0a5023289dffed7d6,16499.999999999999996865
0x8cef04e6db5648db4ac06fac8e79718da94bf52d,16389.999999999990000000
0x869db57d7539c41e93c7ae642565b39866e283e5,16310.800667853126923843
0x8e60f1017cccf20ee4de0ac42650bfe28b3ec1da,15599.999999999999994930
0x41eacd0d97020bc825e9bd041ef5c96efa11703c,15516.528713799120129964
0x905c488847aa10b95904fa8758d29927b2499a65,15138.000000000000000000
0xb66e6d1b85153705a8c4d2d90abe99e747eadb36,15120.000000000000000000
0xb78f241f38f2ca68b667f4b9c55f7c3bd482cdfd,15120.000000000000000000
0xe3a8a067cd256e663bbcb88368fb1524b41f9154,15120.000000000000000000
0x138e67516edc01e5f5917fbfecf0c7d9614785cf,15000.000000000000000000
0xc83adc98d6f2f109ba9799bcae1bdafdac4ee9b8,15000.000000000000000000
0x0ffaf0c622f11502693cd911902f9fddfa7bac46,14999.999999999999996700
0xa54931d3eca57e173a7773ddfb8f9a1a820d666d,14950.000000000000000000
0xd0c8328566feddfe8b871a9e565c89005e9b7a18,14950.000000000000000000
0x69117b5bfb6d2e476f1441f4e431bf2091ec4ed9,14900.000000000000000000
0xe33116ed22238f382ba8896c7f2f6fd0ffc864f9,14810.000000000000000000
0x85d4e372242f678c88006d31074db4e92eb84276,14750.000000000000000000
0x61b83e6efcd1aaf651e1f6d19edfc392432a2147,14599.874815400000000000
0x9a3f2277831aeb47a4d2cac9d719bd00e3c8ed0a,14579.700370428617600258
0x24182601fe6e2e5da0b831496cc0489b7173b44f,14500.000000000000000000
0x48e7e7478fba8f056387ddd5745e16533b849f13,14500.000000000000000000
0x4a9ba82fb883f9b5b16f21439386879684ce1e4d,14457.750863871423092453
0xc15d139c7bb0381d32ec41b4a1678bad5cc328c9,14395.868642043338498421
0x89b33581dd985d29edcefbdcc6afb6ef62407600,14384.402000000000000000
0x7908dd22441523fba887ba1bfbaaeb257f39dc8d,14380.000000000000000000
0xd9a55791c59136c10ebbec31f503076ccbcfa662,14348.799000000000000000
0x59f9d741ca2f38f1c3473ebd4fad66a65b4cf4e3,14280.000000000000000000
0x81d7f9c0ce4d8142200251d8da80aa21655b573a,14258.559871275614688614
0x1c12db2ec656e5863bacb3b797fd61b9527ded58,14160.000000000000000000
0x9eeee3aae3db3433fa302c321bab449b449d7686,14100.000000000000000000
0x89cbd31aeac3eefca53ef875df2c04af368390ef,14040.000000000000000000
0x65f851682d04b8c68a1ee99b219a754b03dec725,14000.000000000000000000
0xd25a79faa27b56ec4a4621ee5d714572dbb5a90a,14000.000000000000000000
0x699f3f8608f7c52bb5c2a091988b58e7ca7a5d68,14000.000000000000000000
0xef0c895e7324796d680d5e52e9fbea5e19f0c1ef,14000.000000000000000000
0x01e88dd21ffe1820666edd6abc033d3c6e12e02c,14000.000000000000000000
0x09a3df1d2037520bed67ab2d5075f3e989476815,14000.000000000000000000
0x0cbcfe5b4e7e65b520d7dbebc7247d849507a76d,13875.230000000000000000
0x98c34b9df79d8d9658c78e9731854c6958c40709,13774.446368037528316161
0x5ced383e237b29246df39de3983d2b80f14ad34d,13739.919540409107669197
0x810ba33f0c07f748bbb0fbf04447cc14c5841e9f,13686.133819035355194482
0xbcfc2f244c23eec8d74dc907ea0560dc943b9a2a,13536.268561878912348576
0xa5208aa5bc448650b6d0d4d97a75380591652886,13500.000000000000000000
0x6c6acf0ab0dd511aca0f5db3cc96e6e404001ecc,13500.000000000000000000
0xd163c0b8c586141cb4f1f46d37bbd718ee9d93a5,13491.000000000000000000
0xe105fbdac1bae95cabb76e0348f8679b50303b34,13480.000000000000000000
0x964dc4be95a7a74fb97448003ac096f03ff9be58,13439.242878928664191131
0xd9d470748c0d032c4359ff49c1c85deffc3c2894,13338.000000000000000000
0x164724dba09c94d1475bcc458087a746ed6b85e1,13315.000000000000000000
0xf5da0a103d57eaaad5c1bae57f128f3763a9f639,13254.126624274800407327
0x654803541b63588adf527f6816821d14634132db,13200.000000000000000000
0x1685c85028632bb9d2b0226bd866772a123a3be8,13109.637614320054395900
0x98c5215343ebda3f5ef2b27bc6c9067a6f73a552,13000.000000000000000000
0x2115400a17030cb7595cd6f7e402d0e0bc914832,13000.000000000000000000
0x54fb4508a2b378e715bf2fca0ecac107720d3abc,12981.720000000000000000
0x1bca841c3aaca90516c80803ebe09e2d95862beb,12963.329096309443961473
0x75de36b383f0934e4b3b7aab924c39017065d87a,12961.547745876924247570
0x1e7dd142e3f89f3abb88f07fe71344725c26f6ce,12960.000000000000000000
0x74c9e45d0de8eb1820696a52c2d60436934f5d34,12800.000000000000000000
0x104e18db64ae017be6b6101cd12b40c2aa162761,12759.999999999999996150
0x110b835d5fb17c913cb76d221658c27f5c7d1a1b,12744.532950499999996425
0x542918c881884d152be8b40c371072012e51cdeb,12600.000000000000000000
0x12edfed362998e0e5871770cff29035792455288,12552.857867996255889665
0xcb7d8aecd2efa7178f52531ec54a85c4f518bead,12551.098818527012716963
0x10abd986d4ced3bcd2c2c3f2b7b3fe98062a461a,12538.520000000000000000
0xeeacd78e4650221b60bb7f283e39ebbe84e1b24a,12528.232364878067258146
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,12315.083299999999996040
0xd4a5cc3ddbd34933e1ee7fd98ab8189577d7151f,12108.250000000000000000
0xb1cf58cee8f042899e290819fb9b8937e9397bbd,12099.999999999999996810
0x0616ba63e300db20c760a3a5edbab3f2cc32cba4,12085.521146188389307157
0xb1f02ce8ebd6a210e38c2a02574a8e212e08ca07,12000.000000000000000000
0x7fa6ad0866caa4abde8d60b905b3ae60a3e0f014,12000.000000000000000000
0xb6ceecf45b74f662a45d2ad5e6d7d7bb7c016e14,11995.198685000000000000
0xed015c7b28280391c6b8375d2682c0058bde412d,11780.000000000000000000
0x7d6ef5eccca47fd5eeb3812d6549a3a245df57ed,11766.416485828775559846
0x9324a0c493182679709d7e87bb149d17512c3f9f,11700.000000000000000000
0xcd94886beef05081b5efbfe1064bb66d5dd0ee45,11469.522402306383916581
0xb671bced53332e3448433a961cf3e5c0cb713fd3,11300.000000000000000000
0xc57f4655fb3643bd9dfd70d11b59759075e766d4,11000.433464859999989000
0x1bfec7869d6de0fac4a02653bb6e12649cfe2073,11000.000000000000000000
0x3eaee8aaf5d46a13acab1369e4023b2db08f239a,11000.000000000000000000
0x54122f4caa9075837e06ab696062c57d628ab7a4,11000.000000000000000000
0xb14460f454dd2fd351ee444f521d1fcad1cfdfc5,11000.000000000000000000
0x8c12793fb24f59c4ebac5c323b6b6ed3e92c4c23,11000.000000000000000000
0x729ba1942ce4cc30784c571143b051ffbc1af8eb,10999.999999999999997910
0x977e64c92cacee1ce5711d1f3d2982f2cd6e24e0,10999.999999999999997910
0xfb9e7d8d285de7e24fb96c42d766b29a365da421,10999.999999999999997910
0x52ccabeebd9a77c2c8fbf03924f3f2870bcf6f1c,10999.999999999999997910
0xa2efa94766ee867c91f71e8020a3c97ae687e5c3,10999.999999999999997910
0x0fb6fd9d834004d4ca9464feaf9c51b70a30bf3d,10999.304528299999999560
0xab56ff1a71455f25db4ad3200010a346063e015c,10994.711649969250192000
0x0f099b4f163a724ccae8c73840d35273ed206475,10970.024920148706436924
0x0dbe994ad1e8b24320d561c58a2406dc1caac8c7,10923.210205638114698723
0x8277fce34efba4e596e40dde7e95c09c3c7b27ca,10921.336744537716889058
0x4c0c79e0f8444850abe7de8065429558d29db4eb,10857.170596923842756290
0x55066f9e0408265982eba7c5b01f67facc68123e,10849.091190000000000000
0x913cab4461c0eda8fc193e68c8999b3516a82016,10849.091190000000000000
0x80d85a65992311ddaf9c3960116dce3b562d4c67,10802.000000000000000000
0x93b50f65adc1cdcd6d7fd2a436ead9310e25454c,10800.000000000000000000
0x678b81e1691587f2c967041167c9cbc3bbc87067,10800.000000000000000000
0xfb6f219e4ea306d37fc842675dc5d9510d46cb60,10800.000000000000000000
0x495649ab73acc35b12c0e41eac6a731241bd010e,10800.000000000000000000
0x3b31f358d379739bac7b21d3a495003c600ef706,10800.000000000000000000
0x4306cbf020e6e550499b6f38126a0035cd76d287,10800.000000000000000000
0x4cc45923e0d3400faae82b8b8bac68cda86fde40,10800.000000000000000000
0x83b4e649c7fb61d3d658a1c787473afaaea10f7a,10800.000000000000000000
0x8439c5565cff9a890d53ddc76f5273fc6b00fc67,10800.000000000000000000
0x6f7fa86f42616a4352fa8feea05bdcdfd7a61a18,10620.000000000000000000
0xdad5f2fbb487aecbe6594f17531908f5a6ded963,10449.999999999999998460
0x64ecba248093f85bf18541f5ee44d5eb89da428b,10400.000000000000000000
0x8f77e1f52f561a68bb53e1fe35edfe0653b70267,10260.000000000000000000
0xd49accb47c092e522f478e32313496b09c2aacae,10178.583231678030988866
0xb013f2df2ef1a6dc432067679cc01a1b321a4ced,10097.000000000000000000
0x62b0d3a51530e94c856ee0e745be1414ac2bef5b,10090.043201492452259380
0x4a041a8ee6653f3d5f3355d3f5bee37b93836284,10074.769582722155385424
0xbe774844100ac515aaa3ba94ff4623e185fea596,10050.000000000000000000
0x8039eb70958637e5bfc254c783bb262fa0f8ea6e,10023.299646673311880196
0xf01efda3f92a513d232e59d5df47ef7f3836026f,10000.000000000000000000
0x8f12f14a09d80051de4315808df57af19d80cad4,10000.000000000000000000
0x958e40b4151e7c905fe01913de778762b10facc6,10000.000000000000000000
0x5cffe752060040774a7c3bad5922aee9d40d8ab1,10000.000000000000000000
0xf923de0bb29995e2ef4688f6d2cb87872398a522,10000.000000000000000000
0x98f723e9a4092c2d88487e18a904250efa2056f8,10000.000000000000000000
0x40d035a2f7a6af4f6d08a979ad7c398821df4f35,10000.000000000000000000
0x71cd4174c040940900e84c52f9acb6a33d59e34f,10000.000000000000000000
0xc384ac6ee27c39e2f278c220bdfa5baed626d9d3,10000.000000000000000000
0x7effdbd7fb53dcf1ba2c8d9f2a3b7c2e29d0134d,10000.000000000000000000
0x518823a13fd132f00acbde44c5de517607f88a90,10000.000000000000000000
0x909e76d414e3be450c69a59987207d509f0d51ce,10000.000000000000000000
0xe114e90fa6e8756ed60adf9d73aa0a2d92ce1aa9,10000.000000000000000000
0xe72080cf88f05d34bd04000fdca288ef1801ee34,10000.000000000000000000
0x1c6ea39e46dea70ccd65a3672ccdd380af8f2a8d,10000.000000000000000000
0xa8de309c561acbc833fc24fd82afe17ceb58f2e9,10000.000000000000000000
0x00cfa512af7db14b8f7924dbe933cb49ef3d90ab,10000.000000000000000000
0x0f1270f0bf33249d33991a1cc32276260f14414e,10000.000000000000000000
0x2a765eb730645f85036fb1db4e78d84d11e71baa,10000.000000000000000000
0x861a6b1233240a41efd24e3f2f4b9d235ee9b760,10000.000000000000000000
0x1bce3ecaaa64cd584e0cbf097ad33a140117752d,10000.000000000000000000
0x5a5bcd6dc4f205fc69e7f8124f004d60ee73b382,10000.000000000000000000
0xfcf3f4ea9aca15d8aecd96d6503663a9adec3c4f,9998.134675000000000000
0x0b0d0402002dddfe59b30c8fb9539a79072c2471,9995.160509614789859115
0x045ecb5a086a81fc6a2b2321d1c807c4da7c4365,9990.000000000000000000
0xc6e5a2dae24cacd8555f665760a7f77ed5ef1761,9762.296068135976830448
0x15611e37c25756ada0663ed009d412a63f525300,9760.412301207591600000
0x4b581a109a525348b75f0444a3402a38acb52a0f,9720.000000000000000000
0x2109bed9c30ec93b89a27aae312978f13e36fba6,9720.000000000000000000
0x842b52d5cfe979a05fac1a09c5824a87f4779635,9720.000000000000000000
0x0493cc67cb87bd47e62608414e5bf2be5e32f85b,9587.138531938507579773
0x8e7d29ec6db169afd11e6b972420e9eaa64a8403,9450.000000000000000000
0x7c62a4084cb4de3ce8d2fd64262ac6b4f584a9c2,9450.000000000000000000
0xc50ca1fd053f9dc61f1667ae0c6304dd3c84c502,9390.852682200000000000
0x9d7424a1cbf844e2aa568d3772f90535f86f6fa4,9388.000000000000000000
0x516fad13e3a8f27452cda521da581d3813996e9a,9374.474386510878352838
0x4f88bf43fea1280bf4231f8dd93763edd1c5a545,9362.314579517000897214
